,Ticker,Opening Price,Closing Price,Date
68,ETH,14.08,12.47,2009-04-17
69,ETH,9.33,7.1,2009-03-06
70,ETH,12.68,11.39,2009-01-30
71,ETH,14.61,12.89,2008-12-19
72,ETH,15.07,12.21,2008-11-21
73,ETH,17.78,15.25,2008-11-14
74,ETH,20.91,18.6,2008-10-24
75,ETH,25.25,20.68,2008-10-17
76,ETH,29.0,26.0,2008-09-05
77,ETH,28.61,25.4,2008-01-04
78,ETH,40.0,35.02,2006-08-25
79,ETH,32.5,27.86,2001-09-21
80,CPN,11.77,10.5,2016-12-02
81,CPN,15.2,12.35,2016-02-12
82,CPN,16.44,14.5,2011-08-05
83,CPN,14.27,12.77,2010-05-21
84,CPN,11.83,10.29,2009-05-15
85,CPN,9.69,7.97,2009-04-24
86,CPN,7.08,6.06,2009-02-20
87,CPN,8.21,7.36,2009-02-13
88,CPN,7.95,7.13,2009-01-23
89,CPN,7.83,6.8,2008-12-26
90,CPN,8.72,7.83,2008-12-12
91,CPN,8.89,6.8,2008-11-21
92,CPN,10.37,8.72,2008-11-14
93,CPN,11.87,9.49,2008-11-07
94,CPN,10.79,9.19,2008-10-10
95,CPN,13.24,10.96,2008-10-03
96,CPN,16.29,14.31,2008-09-19
97,CPN,19.0,16.0,2008-01-18
98,OMAM,14.1,12.2,2016-11-04
99,OMAM,13.44,11.79,2016-01-15
100,UTX,110.97,99.31,2015-07-24
101,UTX,83.31,74.14,2011-08-05
102,UTX,53.88,47.63,2008-10-10
103,UTX,69.23,61.15,2008-06-27
104,UTX,56.0,42.25,2001-09-21
105,UTX,81.2,71.43,2001-03-16
106,UTX,62.5,52.25,2000-01-28
107,PAGP,26.18,21.09,2017-08-11
108,PAGP,7.04,6.04,2016-02-12
109,PAGP,9.18,8.19,2016-01-08
110,PAGP,9.03,7.5,2015-12-18
111,PAGP,11.74,9.79,2015-12-04
112,PAGP,15.5,12.82,2015-11-06
113,PAGP,25.49,17.7,2015-08-07
114,PAGP,29.95,26.28,2014-10-10
115,SYY,43.05,36.28,2013-12-13
116,SYY,26.2,23.15,2008-10-24
117,SYY,28.04,24.55,2008-10-10
118,SYY,27.5,24.45,2003-03-07
119,SYY,26.75,22.22,2001-09-21
120,SYY,30.0,26.06,2001-01-05
121,ELP,11.13,8.42,2016-11-11
122,ELP,5.21,4.67,2016-01-15
123,ELP,5.77,5.0,2016-01-08
124,ELP,11.02,9.91,2015-07-24
125,ELP,11.95,10.68,2015-03-06
126,ELP,18.08,15.43,2014-09-12
127,ELP,15.64,11.77,2013-06-21
128,ELP,17.77,15.57,2013-05-31
129,ELP,11.43,9.07,2008-10-24
130,ELP,12.62,8.77,2008-10-10
131,ELP,16.91,15.2,2008-09-05
132,ELP,16.64,14.81,2007-12-14
133,ELP,17.36,15.39,2007-10-19
134,ELP,18.05,16.22,2007-07-27
135,ELP,11.25,9.96,2006-05-12
136,ELP,5.97,5.28,2005-08-19
137,ELP,5.32,4.78,2005-03-11
138,ELP,4.45,3.94,2005-01-07
139,ELP,4.77,4.2,2004-12-10
140,ELP,3.1,2.65,2004-05-21
141,ELP,4.55,3.95,2004-01-30
142,ELP,2.96,2.6,2003-08-01
143,ELP,3.36,2.98,2003-06-27
144,ELP,3.09,2.69,2003-04-11
145,ELP,2.5,2.18,2003-02-07
146,ELP,3.13,2.74,2003-01-17
147,ELP,2.23,1.96,2002-12-06
148,ELP,2.39,2.06,2002-11-08
149,ELP,2.25,2.0,2002-10-11
150,ELP,2.48,1.93,2002-09-27
151,ELP,3.05,2.55,2002-09-20
152,ELP,3.42,3.0,2002-09-06
153,ELP,3.5,2.92,2002-08-16
154,ELP,3.95,3.28,2002-07-26
155,ELP,4.98,4.03,2002-06-21
156,ELP,5.67,5.06,2002-06-07
157,ELP,7.16,6.25,2002-05-03
158,ELP,7.4,6.48,2002-01-11
159,ELP,5.4,4.84,2001-11-02
160,ELP,5.83,5.0,2001-10-05
161,ELP,8.17,7.08,2001-05-11
162,ELP,8.1,6.9,2001-04-20
163,ELP,9.31,7.44,2000-04-14
164,ATEN,7.55,6.32,2018-01-17
165,ATEN,8.1,6.92,2017-07-14
166,ATEN,9.5,7.47,2016-10-28
167,ATEN,4.96,4.14,2015-02-13
168,ATEN,5.37,4.8,2015-01-30
169,ATEN,8.07,4.21,2014-10-10
170,ATEN,9.46,8.06,2014-10-03
171,ATEN,13.1,11.46,2014-08-01
172,ATEN,13.62,12.2,2014-07-11
173,ATEN,14.51,12.75,2014-04-25
174,CDR,5.98,5.32,2018-01-12
175,CDR,6.4,5.75,2013-05-31
176,CDR,3.88,3.39,2011-11-11
177,CDR,3.59,3.17,2011-09-23
178,CDR,5.01,3.97,2011-08-05
179,CDR,6.14,5.5,2010-08-13
180,CDR,7.53,6.52,2010-05-21
181,CDR,8.05,6.75,2010-05-07
182,CDR,6.82,6.13,2009-10-16
183,CDR,6.4,5.57,2009-09-04
184,CDR,4.25,3.56,2009-05-15
185,CDR,2.8,1.98,2009-03-20
186,CDR,3.29,2.73,2009-03-13
187,CDR,4.68,3.32,2009-03-06
188,CDR,6.35,5.17,2009-02-20
189,CDR,6.6,4.22,2008-11-21
190,CDR,8.9,6.62,2008-11-14
191,CDR,9.48,8.13,2008-10-24
192,CDR,11.73,9.52,2008-10-10
193,CDR,14.14,12.49,2007-07-27
194,CDR,15.0,11.5,2003-10-24
195,CDR,3.57,2.81,2003-10-17
196,CDR,3.79,2.77,2003-07-25
197,CDR,7.1,3.79,2003-07-18
198,CDR,5.7,4.85,2003-05-30
199,CDR,5.25,4.5,2003-04-04
200,CDR,5.0,4.5,2003-03-21
201,CDR,3.74,3.2,2002-10-25
202,CDR,4.23,2.61,2002-10-11
203,CDR,5.75,3.77,2002-08-16
204,CDR,8.8,5.4,2002-06-07
205,CDR,6.0,5.03,2002-04-26
206,CDR,4.5,4.0,2001-10-26
207,CDR,5.15,3.85,2001-10-12
208,CDR,6.3,5.45,2001-10-05
209,CDR,4.0,3.38,2001-08-31
210,CDR,3.45,3.1,2001-05-25
211,CDR,2.875,2.31,2001-04-06
212,CDR,3.0,2.37,2001-03-16
213,CDR,3.69,3.0,2001-03-02
214,CDR,3.25,2.69,2000-12-22
215,CDR,3.69,3.25,2000-12-08
216,CDR,5.62,5.0,2000-09-29
217,CDR,6.0,4.0,2000-04-14
218,CDR,6.56,5.56,2000-02-11
219,AIZ,77.34,67.07,2016-02-12
220,AIZ,41.23,35.0,2010-11-12
221,AIZ,27.7,23.41,2009-05-01
222,AIZ,20.03,17.19,2009-03-06
223,AIZ,19.88,15.06,2008-11-21
224,AIZ,23.28,19.98,2008-11-14
225,AIZ,25.38,22.35,2008-11-07
226,AIZ,36.26,25.48,2008-10-31
227,AIZ,48.37,35.09,2008-10-10
228,AER,42.31,36.71,2016-01-08
229,AER,45.39,40.37,2015-12-11
230,AER,10.68,9.46,2011-09-23
231,AER,11.11,9.89,2011-08-19
232,AER,12.49,10.77,2011-08-05
233,AER,12.86,10.99,2010-05-21
234,AER,13.89,11.91,2010-05-07
235,AER,8.82,7.9,2010-02-05
236,AER,10.75,9.51,2010-01-22
237,AER,6.74,6.0,2009-05-15
238,AER,3.2,2.86,2009-04-03
239,AER,3.11,2.09,2009-03-06
240,AER,4.39,3.23,2009-02-27
241,AER,5.83,4.8701,2009-01-30
242,AER,2.98,2.66,2008-12-26
243,AER,4.39,3.08,2008-12-05
244,AER,4.01,2.6,2008-11-21
245,AER,6.2,4.05,2008-11-14
246,AER,7.86,6.93,2008-10-24
247,AER,9.0,6.6,2008-10-10
248,AER,12.11,9.88,2008-10-03
249,AER,13.77,12.26,2008-06-27
250,AER,18.49,14.88,2008-05-23
251,AER,20.19,17.6,2008-03-07
252,AER,17.75,15.07,2008-01-18
253,AER,27.05,23.41,2007-11-02
254,AER,27.86,24.92,2007-08-03
255,SXCP,18.4,16.45,2017-08-11
256,SXCP,16.9,14.9,2017-03-10
257,SXCP,20.0,17.85,2017-01-20
258,SXCP,8.55,7.28,2016-03-18
259,SXCP,7.65,5.97,2016-02-12
260,SXCP,7.34,6.31,2016-01-08
261,SXCP,6.43,5.68,2015-12-11
262,SXCP,11.05,7.57,2015-11-13
263,SXCP,11.77,10.58,2015-10-30
264,SXCP,13.76,12.31,2015-10-16
265,SXCP,16.31,14.61,2015-07-17
266,SXCP,20.13,17.99,2015-06-19
267,GDDY,36.51,31.8,2016-11-04
268,GDDY,30.44,25.86,2016-02-05
269,ATKR,20.79,17.72,2017-08-11
270,ATKR,25.77,22.11,2017-05-12
271,SUM,20.13,16.51,2016-01-08
272,SUM,23.06,20.27,2015-12-11
273,SUM,24.26,20.87,2015-09-25
274,SUM,26.99,23.4,2015-08-21
275,CHE,80.0,68.0,2013-05-03
276,CHE,57.61,49.77,2011-11-18
277,CHE,61.3,54.96,2011-08-05
278,CHE,39.46,35.3,2009-03-06
279,CHE,45.07,39.81,2009-02-27
280,CHE,38.82,32.04,2008-10-10
281,CHE,40.4,32.75,2008-04-25
282,CHE,64.38,57.18,2007-11-02
283,CHE,37.5,32.26,2006-09-29
284,CHE,53.8,40.15,2006-07-14
285,CHE,60.97,54.49,2006-04-28
286,CHE,77.96,40.31,2005-05-13
287,CHE,36.0,31.46,2002-07-12
288,CHE,31.36,27.69,2001-07-27
289,CHE,34.65,30.97,2001-04-06
290,HDB,186.75,167.08,2010-12-10
291,HDB,75.89,68.2,2009-01-09
292,HDB,57.0,48.29,2008-11-21
293,HDB,69.07,58.01,2008-11-14
294,HDB,67.07,53.01,2008-10-24
295,HDB,77.17,62.0,2008-10-10
296,HDB,80.22,71.56,2008-06-27
297,HDB,97.5,86.58,2008-06-06
298,HDB,105.82,95.14,2008-03-07
299,HDB,137.5,118.62,2008-01-18
300,HDB,55.21,47.67,2006-06-09
301,HDB,45.61,40.91,2005-01-07
302,HDB,30.61,25.98,2004-05-14
303,HDB,32.35,29.0,2004-01-30
304,HDB,26.14,23.34,2003-11-07
305,HDB,15.25,12.49,2001-09-21
306,HTGC,15.57,13.0,2017-05-05
307,HTGC,10.88,9.51,2010-05-07
308,HTGC,4.24,3.62,2009-03-06
309,HTGC,5.05,4.26,2009-02-20
310,HTGC,6.44,4.99,2009-02-13
311,HTGC,6.27,4.98,2008-11-21
312,HTGC,7.67,6.37,2008-11-14
313,HTGC,8.57,7.36,2008-11-07
314,HTGC,9.42,7.5,2008-10-10
315,HTGC,11.933,10.5,2005-11-11
316,HTGC,12.49,10.1,2005-10-14
317,TXT,29.56,26.35,2013-04-19
318,TXT,17.21,15.21,2011-08-19
319,TXT,23.42,18.59,2011-08-05
320,TXT,21.03,18.16,2010-08-13
321,TXT,19.32,16.07,2010-07-02
322,TXT,23.0,20.38,2010-05-07
323,TXT,11.29,9.59,2009-06-19
324,TXT,5.31,3.75,2009-03-06
325,TXT,6.51,5.65,2009-02-27
326,TXT,9.0,6.81,2009-02-06
327,TXT,12.56,9.03,2009-01-30
328,TXT,13.98,12.56,2009-01-23
329,TXT,15.84,14.05,2009-01-16
330,TXT,15.27,12.91,2008-12-26
331,TXT,16.7,14.73,2008-11-14
332,TXT,19.54,12.22,2008-10-24
333,TXT,24.75,19.03,2008-10-10
334,TXT,31.96,25.22,2008-10-03
335,TXT,46.49,41.6,2008-07-18
336,TXT,65.77,59.08,2008-01-11
337,TXT,32.95,28.55,2003-03-21
338,TXT,43.42,39.06,2003-01-24
339,TXT,44.7,39.71,2002-07-12
340,TXT,42.55,33.61,2001-09-28
341,TXT,48.5,38.5,2001-09-21
342,TXT,47.25,41.44,2000-12-15
343,TXT,56.0,48.44,2000-09-15
344,TXT,59.13,52.56,2000-03-10
345,TXT,67.13,60.38,2000-01-21
346,CO,12.42,10.87,2017-11-10
347,CO,8.11,6.85,2017-04-21
348,CO,5.46,4.82,2014-07-11
349,CO,4.29,3.83,2013-08-30
350,CO,3.13,2.7,2012-06-22
351,CO,2.62,2.31,2012-01-06
352,CO,2.66,2.24,2011-12-09
353,CO,3.46,3.09,2011-05-13
354,CO,3.91,3.37,2011-03-11
355,CO,4.05,3.63,2011-01-07
356,CO,5.55,3.97,2010-11-05
357,CO,8.0,5.75,2009-11-20
358,MULE,26.0,22.49,2017-07-28
359,HBI,22.44,19.36,2017-11-03
360,HBI,22.89,18.98,2017-02-03
361,HBI,30.2,24.96,2016-02-05
362,HBI,127.92,32.0,2015-03-06
363,HBI,27.64,23.73,2011-08-19
364,HBI,27.73,24.8,2010-10-29
365,HBI,28.87,24.95,2010-06-25
366,HBI,16.54,14.49,2009-05-15
367,HBI,8.62,7.6,2009-02-13
368,HBI,11.55,9.36,2009-01-23
369,HBI,12.97,11.54,2009-01-16
370,HBI,13.36,10.21,2008-12-12
371,HBI,14.01,9.99,2008-11-21
372,HBI,16.02,14.16,2008-11-14
373,HBI,15.78,13.24,2008-10-24
374,HBI,17.83,15.6,2008-10-17
375,HBI,22.7,18.92,2008-10-03
376,HBI,25.7,22.99,2008-09-26
377,HBI,26.34,22.32,2008-08-01
378,HBI,27.96,23.63,2008-07-11
379,HBI,31.95,28.68,2008-06-20
380,HBI,27.34,24.33,2008-01-04
381,MPO,14.51,11.08,2017-06-23
382,MPO,21.52,18.93,2016-12-16
383,MPO,0.9999,0.7111,2016-02-05
384,MPO,1.49,0.78,2016-01-15
385,MPO,2.09,1.5,2016-01-08
386,MPO,2.45,2.13,2015-12-18
387,MPO,3.15,2.72,2015-12-04
388,MPO,3.74,3.26,2015-11-20
389,MPO,5.15,3.83,2015-10-23
390,MPO,3.29,1.92,2015-08-21
391,MPO,0.75,0.56,2015-07-17
392,MPO,1.0,0.81,2015-07-02
393,MPO,1.12,1.0,2015-06-19
394,MPO,1.05,0.85,2015-03-20
395,MPO,1.15,0.7651,2015-03-13
396,MPO,1.29,1.0,2015-02-13
397,MPO,1.55,1.26,2015-01-09
398,MPO,1.79,1.57,2014-12-26
399,MPO,1.83,1.07,2014-12-12
400,MPO,2.29,1.85,2014-12-05
401,MPO,3.12,2.29,2014-11-28
402,MPO,3.48,2.86,2014-10-17
403,MPO,4.69,3.46,2014-10-10
404,MPO,5.9,4.71,2014-10-03
405,MPO,5.99,4.67,2014-01-31
406,MPO,6.47,5.78,2013-10-25
407,MPO,5.7,4.7,2013-08-09
408,MPO,6.65,5.67,2013-04-19
409,MPO,8.5,7.11,2013-04-05
410,MPO,7.29,6.14,2012-10-26
411,MPO,8.94,7.86,2012-08-03
412,MPO,11.89,10.7,2012-06-22
413,MPO,13.86,11.98,2012-06-15
414,MPO,14.81,13.04,2012-06-01
415,MPO,16.17,14.46,2012-05-04
416,CLDT,27.11,23.52,2015-08-07
417,CLDT,11.82,10.42,2011-08-19
418,CLDT,14.5,11.66,2011-08-12
419,CLDT,20.0,17.65,2010-05-21
420,DAN,22.82,19.34,2013-11-01
421,DAN,14.04,12.37,2011-11-18
422,DAN,12.36,10.5,2011-09-23
423,DAN,13.96,11.39,2011-08-19
424,DAN,17.02,13.33,2011-08-05
425,DAN,12.67,11.1,2010-08-13
426,DAN,11.25,9.49,2010-07-02
427,DAN,12.05,10.0,2010-05-21
428,DAN,13.2,11.43,2010-05-07
429,DAN,11.55,10.2,2010-01-22
430,DAN,7.02,5.66,2009-10-30
431,DAN,6.9,6.05,2009-10-02
432,DAN,1.55,1.35,2009-06-26
433,DAN,1.78,1.53,2009-06-19
434,DAN,1.49,1.34,2009-05-22
435,DAN,2.01,1.45,2009-05-15
436,DAN,0.86,0.73,2009-04-24
437,DAN,0.36,0.23,2009-03-06
438,DAN,0.46,0.36,2009-02-27
439,DAN,0.683,0.44,2009-02-20
440,DAN,0.9,0.65,2009-02-13
441,DAN,0.7,0.61,2009-01-23
442,DAN,1.0,0.69,2009-01-16
443,DAN,0.86,0.7,2008-12-19
444,DAN,0.89,0.8,2008-12-12
445,DAN,1.03,0.51,2008-11-21
446,DAN,1.65,1.05,2008-11-14
447,DAN,2.24,1.6,2008-11-07
448,DAN,3.02,1.47,2008-10-24
449,DAN,3.56,3.03,2008-10-17
450,DAN,4.05,3.35,2008-10-10
451,DAN,5.34,4.15,2008-10-03
452,DAN,6.26,5.41,2008-09-26
453,DAN,7.06,5.45,2008-06-27
454,DAN,8.87,7.1,2008-06-20
455,DAN,10.1,8.87,2008-06-13
456,DAN,12.18,10.59,2008-05-23
457,DAN,9.8,8.78,2008-03-20
458,DAN,11.27,9.9,2008-03-14
459,DAN,12.75,11.455,2008-02-08
460,NVGS,11.0,8.9,2017-05-12
461,NVGS,8.4,7.3,2016-08-26
462,NVGS,13.87,12.3,2016-06-10
463,NVGS,19.07,16.51,2014-12-12
464,NVGS,26.06,22.67,2014-10-10
465,NVGS,27.5,24.37,2014-01-24
466,NVGS,60.0,20.06,2013-11-22
467,NVGS,29.0,25.5,2012-08-24
468,NVGS,18.0,14.85,2010-10-22
469,NVGS,17.0,15.0,2010-03-26
470,NVGS,14.58,12.75,2010-02-19
471,NVGS,37.25,12.0,2009-03-06
472,GHM,23.77,20.69,2015-01-30
473,GHM,24.14,21.12,2011-06-03
474,GHM,23.05,20.6,2011-05-06
475,GHM,15.66,14.01,2010-08-13
476,GHM,18.0,16.08,2010-05-07
477,GHM,18.27,15.88,2010-01-29
478,GHM,16.0,14.17,2009-10-30
479,GHM,12.63,11.02,2009-07-10
480,GHM,9.79,7.63,2009-02-20
481,GHM,11.54,9.97,2009-02-13
482,GHM,12.01,9.51,2009-01-16
483,GHM,9.07,7.57,2008-11-21
484,GHM,14.49,9.1,2008-11-14
485,GHM,20.99,13.6,2008-11-07
486,GHM,22.99,16.55,2008-10-24
487,GHM,37.28,19.7,2008-10-10
488,GHM,57.71,40.18,2008-10-03
489,GHM,70.0,58.86,2008-09-26
490,GHM,94.0,74.45,2008-09-05
491,GHM,67.0,56.6,2008-05-23
492,GHM,45.05,34.05,2008-02-01
493,GHM,44.2,38.8,2008-01-18
494,GHM,74.54,60.0,2007-12-14
495,GHM,63.86,54.14,2007-11-09
496,GHM,36.5,31.75,2007-08-10
497,GHM,17.3,12.99,2006-10-20
498,GHM,26.0,19.0201,2006-02-03
499,GHM,36.9,15.0,2005-10-07
500,GHM,11.62,10.4,2004-02-06
501,GHM,8.4,7.2,2002-10-11
502,GHM,10.6,7.55,2001-09-21
503,FMS,35.36,31.02,2013-07-05
504,FMS,69.75,34.82,2012-12-07
505,FMS,77.86,69.2,2011-08-05
506,FMS,54.43,48.86,2010-05-07
507,FMS,49.62,42.18,2008-10-10
508,FMS,13.39,9.8,2002-08-02
509,FMS,24.85,21.23,2001-11-02
510,GPRK,8.57,7.49,2017-06-16
511,GPRK,7.64,6.6,2017-04-21
512,GPRK,4.9,4.41,2016-12-09
513,GPRK,2.6165,2.32,2016-05-27
514,GPRK,3.17,2.82,2015-12-11
515,GPRK,3.2501,2.88,2015-10-30
516,GPRK,3.75,3.23,2015-09-25
517,GPRK,3.99,3.5,2015-08-21
518,GPRK,3.9,3.48,2015-08-07
519,GPRK,4.5,3.78,2015-01-30
520,GPRK,5.37,4.6,2015-01-09
521,GPRK,8.17,7.0601,2014-11-28
522,GPRK,9.1,8.07,2014-10-10
523,GPRK,9.52,6.45,2014-02-07
524,GPRK,9.18,8.25,2013-09-06
525,GPRK,10.18,8.75,2013-05-03
526,GPRK,11.25,8.5,2012-06-08
527,GPRK,10.32,8.75,2011-08-12
528,GPRK,12.25,10.8,2011-06-03
529,GPRK,13.5,12.0,2011-02-11
530,GE,20.26,18.21,2017-11-17
531,GE,23.44,20.79,2017-10-27
532,GE,18.39,16.51,2011-08-05
533,GE,18.97,16.88,2010-05-07
534,GE,14.38,12.86,2009-05-15
535,GE,8.28,7.06,2009-03-06
536,GE,9.58,8.51,2009-02-27
537,GE,11.2,9.38,2009-02-20
538,GE,13.95,12.03,2009-01-23
539,GE,15.965,13.96,2009-01-16
540,GE,15.95,14.03,2008-11-21
541,GE,19.34,16.02,2008-11-14
542,GE,20.26,17.83,2008-10-24
543,GE,22.27,19.63,2008-10-17
544,GE,25.12,21.57,2008-10-03
545,GE,37.86,32.05,2008-04-11
546,GE,35.5,31.3,2001-09-21
547,NOAH,47.63,40.4,2017-12-01
548,NOAH,25.62,22.32,2016-02-05
549,NOAH,32.23,27.32,2015-11-13
550,NOAH,33.37,28.5,2015-06-26
551,NOAH,25.0,19.67,2014-12-12
552,NOAH,16.26,14.24,2014-03-28
553,NOAH,15.0,13.18,2014-01-24
554,NOAH,17.34,15.07,2014-01-10
555,NOAH,25.08,20.38,2013-11-22
556,NOAH,21.4,17.93,2013-10-25
557,NOAH,15.95,12.2,2013-08-30
558,NOAH,12.53,9.93,2013-06-21
559,NOAH,7.57,6.68,2013-03-22
560,NOAH,5.92,5.3,2012-11-23
561,NOAH,6.26,4.96,2012-05-18
562,NOAH,8.511,7.61,2011-12-09
563,NOAH,8.82,7.46,2011-10-07
564,NOAH,12.8,9.36,2011-09-23
565,NOAH,13.45,11.19,2011-08-05
566,NOAH,12.07,10.24,2011-06-10
567,NOAH,13.48,12.12,2011-06-03
568,NOAH,14.78,12.82,2011-05-27
569,NOAH,16.28,13.63,2011-02-25
570,NOAH,19.27,17.15,2010-12-10
571,IBM,92.21,82.07,2008-10-24
572,IBM,101.21,87.75,2008-10-10
573,IBM,117.44,103.44,2008-10-03
574,IBM,115.11,100.2542,2007-11-09
575,IBM,87.35,76.7,2005-04-15
576,IBM,89.0,80.05,2003-06-06
577,IBM,72.0,63.92,2002-09-20
578,IBM,111.5,94.75,2000-10-20
579,IBM,124.75,105.0,2000-04-14
580,MAN,74.61,66.53,2016-06-24
581,MAN,69.77,61.6,2014-10-10
582,MAN,42.92,38.49,2011-11-11
583,MAN,41.99,36.03,2011-08-19
584,MAN,51.03,43.2,2011-08-05
585,MAN,56.52,49.1,2010-05-07
586,MAN,61.17,51.37,2009-10-23
587,MAN,27.09,24.19,2009-03-06
588,MAN,31.13,27.88,2009-02-27
589,MAN,30.27,26.96,2008-10-24
590,MAN,36.75,31.19,2008-10-10
591,MAN,43.23,37.92,2008-10-03
592,MAN,57.39,51.17,2008-01-04
593,MAN,91.15,79.81,2007-07-27
594,MAN,28.55,24.35,2001-09-21
595,MAN,38.44,32.75,2000-12-15
596,MAN,35.81,32.0,2000-09-08
597,MAN,36.56,32.0,2000-06-23
598,CAI,17.4,15.35,2017-02-24
599,CAI,9.23,7.53,2016-05-13
600,CAI,10.21,9.06,2016-05-06
601,CAI,5.84,4.86,2016-02-12
602,CAI,8.11,6.27,2016-01-15
603,CAI,9.87,8.04,2016-01-08
604,CAI,10.66,9.06,2015-12-11
605,CAI,11.45,10.13,2015-09-25
606,VMC,39.81,34.59,2012-05-18
607,VMC,32.5,28.88,2011-09-23
608,VMC,47.09,41.38,2009-05-15
609,VMC,51.22,45.26,2009-05-01
610,VMC,40.51,35.82,2009-03-06
611,VMC,45.57,40.45,2009-02-20
612,VMC,51.17,45.73,2009-02-13
613,VMC,69.75,61.19,2009-01-09
614,VMC,52.5,40.56,2008-11-21
615,VMC,54.93,48.48,2008-10-24
616,VMC,62.42,54.5,2008-10-10
617,VMC,77.33,64.4,2008-10-03
618,VMC,39.9,35.74,2002-07-19
619,VMC,46.89,38.15,2001-09-21
620,PBFX,20.05,17.7,2016-11-04
621,PBFX,22.9,20.0,2014-12-12
622,PBFX,26.92,24.19,2014-08-01
623,BYD,17.69,15.86,2016-02-05
624,BYD,10.63,9.07,2014-10-10
625,BYD,11.01,9.75,2014-08-01
626,BYD,10.84,9.75,2014-01-24
627,BYD,12.23,10.77,2014-01-17
628,BYD,13.83,10.32,2013-11-01
629,BYD,7.77,6.88,2013-02-15
630,BYD,6.57,5.66,2012-07-27
631,BYD,9.51,8.21,2012-02-24
632,BYD,7.8,6.95,2012-01-06
633,BYD,5.89,5.17,2011-09-23
634,BYD,6.38,5.35,2011-08-19
635,BYD,8.93,6.96,2011-08-05
636,BYD,8.98,7.78,2011-06-10
637,BYD,9.98,8.06,2010-07-02
638,BYD,9.74,8.76,2009-11-20
639,BYD,10.92,7.36,2009-10-30
640,BYD,12.39,10.73,2009-09-25
641,BYD,11.94,9.48,2009-05-15
642,BYD,4.1,3.1,2009-03-06
643,BYD,4.6,3.52,2009-02-20
644,BYD,5.42,4.7,2009-01-16
645,BYD,4.5,4.03,2008-12-12
646,BYD,4.16,3.29,2008-11-21
647,BYD,5.42,4.21,2008-11-14
648,BYD,7.2,5.21,2008-11-07
649,BYD,5.65,4.01,2008-10-24
650,BYD,6.91,5.22,2008-10-17
651,BYD,7.53,5.8,2008-10-10
652,BYD,9.37,8.04,2008-10-03
653,BYD,11.36,9.65,2008-09-26
654,BYD,13.64,11.89,2008-08-22
655,BYD,11.1,9.06,2008-07-11
656,BYD,14.72,12.4,2008-06-27
657,BYD,16.8,14.62,2008-06-20
658,BYD,18.21,15.53,2008-05-23
659,BYD,21.04,18.7,2008-04-11
660,BYD,21.245,18.66,2008-03-07
