Opening Price,Closing Price,Low Price,Bounce Price,Decline Weeks,Bounce Weeks,Bounce ?,26 Week Close,ROI
18.88,14.91,7.42,8.89,23,1,1,14.59,1.641169854
14.78,11.99,7.42,8.89,8,1,1,14.59,1.641169854
18.51,15.16,7.05,9.44,3,1,1,10.43,1.104872881
50.35,42.49,37.69,43.35,10,1,1,64.92,1.497577855
69.5,57.03,53.25,63.97,3,6,1,74.26,1.160856652
20.26,16.2916,15.99,18.66,15,3,1,22.34,1.19721329
13.45,10.1,10.1,11.63,9,1,1,13.41,1.153052451
16.5,12.13,11.16,12.9,6,1,1,15.54,1.204651163
14.01,11.16,11.16,12.9,0,1,1,15.54,1.204651163
69.6,54.97,26.27,31.29,23,1,1,39.09,1.24928092
31.7,26.27,26.27,31.29,0,1,1,39.09,1.24928092
18.39,15.57,14.18,16.33,8,3,1,25.71,1.574402939
16.69,14.18,14.18,16.33,0,3,1,25.71,1.574402939
21.15,17.79,13.07,16.73,8,4,1,19.42,1.160789002
18.82,14.98,13.07,16.73,2,4,1,19.42,1.160789002
25.07,20.23,17.44,21,8,2,1,24.06,1.145714286
15.64,9.77,8.41,10.77,2,2,1,10.61,0.985143918
14.57,10.6,10.6,12.51,0,1,1,14.23,1.137490008
11.85,8.27,8.27,10.24,0,1,1,12.26,1.197265625
51.68,42.56,41.39,48.3,1,3,1,54.03,1.11863354
30.79,24.98,22.76,26.66,21,2,1,45.53,1.70780195
55.2,13.72,11.78,13.64,4,5,1,15.08,1.105571848
45.68,38.08,17.66,22.63,15,1,1,27.39,1.210340256
37.13,29.61,17.41,20.81,22,1,1,30.73,1.476693897
36.11,29.3,12.76,14.77,22,2,1,11.75,0.795531483
25.79,21.42,12.18,14.02,25,13,1,20.48,1.460770328
20.45,14.53,10.17,12.58,24,2,1,13.37,1.062798092
14.33,7.36,6.87,7.97,1,9,1,14.67,1.840652447
10.02,7.17,7.11,8.63,9,3,1,10.53,1.220162225
10.82,7.31,6.14,7.61,6,2,1,8.80,1.156373193
19.12,14.77,13.75,17.25,18,5,1,9.46,0.548405797
16.66,10.49,1.95,2.72,24,2,1,5.89,2.165441176
21.45,17.42,15.18,18.3,16,1,1,31.60,1.726775956
22.86,18.89,15.18,18.3,7,1,1,31.60,1.726775956
81.04,68.47,59.89,70.86,7,3,1,83.84,1.183178098
108,55.02,53.7,62.1,6,9,1,60.91,0.980837359
36.92,31.07,29.08,35,1,6,1,33.02,0.943428571
14.56,7.99,3.96,4.87,19,1,1,13.60,2.792607803
10.71,8.73,8.73,10.39,0,1,1,14.05,1.35226179
15.94,13.42,12.13,13.98,13,4,1,11.15,0.797567954
16.98,13.6,11.64,13.95,2,4,1,15.97,1.144802867
12.05,9.32,8.3,9.81,21,3,1,12.19,1.242609582
25.92,20.02,16.64,19.41,19,2,1,22.71,1.170015456
17.7,14,12.81,14.75,18,2,1,12.81,0.868474576
14.72,12.4,3.29,4.4,21,1,1,9.38,2.131818182
11.36,9.65,3.1,4.03,23,1,1,9.84,2.441687345
11.94,9.48,7.36,9.51,24,2,1,12.70,1.335436383
10.92,7.36,7.36,9.51,0,2,1,12.70,1.335436383
13.83,10.32,9.75,11.62,12,5,1,11.00,0.946643718
11.71,9.92,2.23,3.17,24,1,1,2.18,0.687697161
54.25,46.09,35.42,45.55,9,5,1,29.81,0.654445664
27.01,21.79,19.6,22.6799,2,5,1,34.09,1.503093047
27.82,19.91,14.6,16.89,6,5,1,18.41,1.089994079
34.99,29.65,22.05,25.68,16,1,1,38.12,1.484423676
51.5,40.75,32.5,38.68,21,2,1,51.56,1.332988625
28.01,22.5,22.18,29.93,2,1,1,31.29,1.045439359
15.51,13.11,8.36,10.69,14,2,1,16.81,1.572497661
19.33,16.04,14.14,16.55,3,4,1,21.04,1.271299094
