Opening Price,Closing Price,Low Price,Bounce Price,Decline Bucket,Bounce Bucket,26 Week Close,ROI,ROI Bucket
14.65,12.22,11.64,13.47,3,3,23.85,1.77,7
22.47,18.92,5.22,7.98,4,1,8.22,1.03,3
11.33,8.93,5.22,7.98,2,1,8.22,1.03,3
146.5,120.98,38.82,47.46,5,3,83.02,1.75,7
103.26,70.76,36.34,45.01,5,2,77.55,1.72,7
60.47,48.51,36.34,45.01,2,2,77.55,1.72,7
83.37,68.91,58.14,70,4,2,60.69,0.87,2
62.09,52.23,44.12,56.92,4,3,63.38,1.11,4
36.7,27.75,13.44,16.17,5,3,10.89,0.67,1
29.88,23.93,13.44,16.17,4,3,10.89,0.67,1
14.15,10.91,10.91,13.56,1,2,13.78,1.02,3
17.82,13.025,8.88,10.51,5,2,9.89,0.94,3
13.5,10.46,5.88,7.22,5,2,7.66,1.06,3
10.33,8.725,5.88,7.22,4,2,7.66,1.06,3
12.4,8.48,7.57,8.91,4,1,11.77,1.32,5
12.64,10.62,7.57,8.91,3,1,11.77,1.32,5
390.5,320.1,264,317,4,2,427.90,1.35,5
43.91,37.25,29.13,40.02,3,1,52.57,1.31,5
24.66,17.95,13.45,15.51,4,3,23.04,1.49,6
