,Ticker,bounceback score,close,date,lowest price,num of weeks,open,volume
3899,PQ,3,4.75,20130315,4.0,3,4.24,2402300
3900,PQ,3,4.75,20130315,4.04,2,4.24,2402300
3901,PQ,0,3.23,20160603,2.77,65,2.5,660234
3902,PQ,3,2.38,20150402,2.02,3,2.25,2607091
3903,PQ,4,1.44,20150828,1.15,1,1.1,1226071
3904,PQ,4,0.46,20151224,0.33,1,0.38,7581748
3905,PQ,4,0.46,20151224,0.33,1,0.38,7581748
3906,PQ,4,0.44,20160122,0.37,1,0.35,723226
3907,PQ,3,2.1,20160520,0.78,2,0.821,1541115
3908,PQ,3,2.36,20160826,1.77,2,1.9,4057882
3909,PQ,4,2.96,20160902,2.36,1,2.4,3870641
3910,PQ,4,3.85,20161125,3.26,1,3.36,394788
3911,PQ,3,2.05,20170714,1.77,3,1.83,252032
3912,EME,4,62.65,20170818,1.74,1,65.63,1709984
3913,EME,2,21.1,20081212,16.27,5,17.79,7957500
3914,EME,4,15.77,20081128,12.4,1,12.57,3646600
3915,EME,4,15.77,20081128,12.4,1,12.57,3646600
3916,EME,1,28.75,20100423,23.01,11,26.16,3786600
3917,EME,0,27.42,20120106,23.61,21,27.43,1333300
3918,DTF,0,15.67,20100806,13.54,112,15.49,53990
3919,AWF,0,13.48,20091224,11.69,64,13.28,768753
3920,AWF,4,8.34,20081017,6.81,1,7.2,2169671
3921,AWF,4,7.16,20081128,5.9699,1,5.96,983552
3922,ABEV,4,79.77,20100212,12.72,1,78.74,21300
3923,ABEV,4,39.5,20081017,34.05,1,38.1,23100
3924,ABEV,1,90.34,20100618,77.0,12,86.93,19400
3925,IT,2,23.7,20080801,19.74,4,22.58,3743600
3926,IT,0,19.38,20091009,16.22,50,17.55,1597900
3927,IT,0,17.27,20090724,14.16,25,16.3,1105400
3928,FDX,4,80.48,20110812,35.73,1,80.34,23151000
3929,FDX,2,73.71,20081205,62.55,7,69.5,15817900
3930,FDX,4,65.37,20081031,56.81,1,56.45,19494500
3931,FDX,2,50.02,20090403,43.21,5,45.0,25108400
3932,NUE,3,59.58,20080201,51.22,2,54.94,24011700
3933,NUE,3,59.58,20080201,51.22,2,54.94,24011700
3934,NUE,0,67.86,20180105,58.55,494,64.21,12387718
3935,NUE,0,51.09,20131018,44.36,264,48.59,10814300
3936,NUE,4,35.68,20081128,28.28,1,29.7,27998500
3937,NUE,3,45.89,20090206,39.44,2,40.14,38665200
3938,ROK,4,62.47,20110805,38.89,1,73.12,16012500
3939,ROK,2,49.29,20080815,41.65,5,46.87,6044300
3940,ROK,2,31.15,20081128,25.71,7,25.62,6544900
3941,ROK,0,66.47,20101105,55.37,33,62.89,4246800
3942,ROK,1,74.63,20111111,62.47,14,69.7,8892900
3943,EXG,0,12.7,20090918,10.76,50,12.34,4306013
3944,EXG,4,8.98,20081128,7.13,1,7.5,4770743
3945,EXG,0,10.48,20090529,9.1,23,9.93,3974449
3946,ORAN,4,19.48,20110805,9.96,1,20.72,12590688
3947,BKK,0,15.61,20111104,13.51,175,15.46,132436
3948,BKK,4,10.814,20081017,9.1518,1,9.5,143271
3949,TECK,0,11.76,20090501,9.5,20,9.81,36661432
3950,TECK,0,44.98,20100401,36.71,81,41.0,20059254
3951,TECK,4,4.43,20081212,3.08,1,3.42,28788867
3952,TECK,4,3.93,20090313,3.03,1,2.93,22416467
3953,TECK,4,21.06,20090717,15.46,1,15.52,47775976
